MomID,Year,Dietary energy density,Diet diversity,Dominant prey species,Mom Age,Deploy Mass,Recover Mass,Mass change,Pup age at Mom Mass Measurement,PupID,Pup sex,Pup Birth date,Pup birth mass,Pup Age at Weaning,Pup Wean Mass date,Pup Wean Mass,Lactation duration
11977,2015,5.351956,0.339065733,Redfish,29,166.6,206.5,39.90,NA,NA,NA,NA,NA,NA,NA,NA,NA
3271,2011,5.804936,0.343971298,NorthernSandlance,25,149,191,42.00,3,10045,1,2010-12-29,20,19,2011-01-17,53.5,19.00
10690,2013,5.671971,0.346862696,NorthernSandlance,28,161,193.5,32.50,3,10749,1,2012-12-23,20.5,20,2013-01-12,49,20.00
125,2000,5.356151,0.347083709,AtlanticCod,14,135.5,190,54.50,2,5297,1,1999-12-28,25,16,2000-01-13,55,16.00
5108,2000,5.750621,0.348326058,Redfish,14,195,186,-9.00,2,5142,1,1999-12-25,20.5,17,2000-01-11,52.5,17.00
6630,2012,5.453544,0.350715693,Redfish,26,158,219,61.00,NA,10525,2,NA,NA,NA,2012-01-19,54,NA
3736,2012,5.70028,0.351798472,NorthernSandlance,27,198,232,34.00,3,10413,1,2011-12-25,25,19,2012-01-13,55,19.00
7366,2005,5.482593,0.352813233,Redfish,32,131.5,181,49.50,NA,NA,NA,NA,NA,NA,NA,NA,NA
6122,2002,5.894663,0.353721185,Redfish,15,155.5,176,20.50,3,6250,2,2001-12-21,21.5,17,2002-01-07,53,17.00
6120,2012,6.154553,0.355965124,NorthernSandlance,27,190,201,11.00,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,1997,5.538972,0.356058118,Redfish,24,164.5,NA,NA,NA,3481,2,NA,NA,17,1997-02-01,45.5,NA
23,1997,5.256674,0.356759677,AtlanticCod,24,120.5,NA,NA,NA,3448,2,NA,NA,18,1997-01-25,56.5,NA
146,1998,5.207342,0.358416625,AtlanticCod,9,196,210,14.00,1,3743,2,1997-12-30,21.5,16,1998-01-15,60,16.00
9019,2009,5.598137,0.366791022,Redfish,20,209,198.5,-10.50,3,9357,1,2009-01-08,22,NA,NA,NA,NA
6118,2002,5.899456,0.368314301,Redfish,13,165,187,22.00,3,6402,2,2001-12-30,23.5,16,2002-01-15,48,16.00
9934,2011,5.767756,0.369203359,Redfish,25,151.5,172,20.50,NA,10181,1,NA,NA,NA,2011-01-16,55.5,NA
9928,2011,5.891207,0.373940774,Pollock,26,151.5,145.5,-6.00,6,10162,2,2010-12-27,NA,14,2011-01-10,34.5,14.00
4269,2013,5.617533,0.375535083,NorthernSandlance,28,181,210,29.00,4,10770,2,2012-12-25,25,18,2013-01-12,56.5,18.00
30,2013,5.766026,0.378703425,NorthernSandlance,26,210,204,-6.00,NA,10880,1,NA,NA,NA,2013-01-17,48.5,NA
24,1996,5.6774,0.380429034,Redfish,23,195.5,216,20.50,3,2768,1,1996-01-14,20.5,18,1996-02-01,46.5,18.00
9932,2011,5.62468,0.382129467,Redfish,26,200,245.5,45.50,0,9980,2,2010-12-18,16,20,2011-01-07,63,20.00
6122,2011,5.843373,0.382749533,NorthernSandlance,24,159,178.5,19.50,2,9957,1,2010-12-16,22,NA,NA,NA,NA
9019,2013,5.811442,0.38294143,NorthernSandlance,24,166,181,15.00,3,10935,1,2013-01-06,24.5,16,2013-01-22,43.5,16.00
10333,2012,5.710691,0.395132072,NorthernSandlance,27,167,206,39.00,4,10449,1,2011-12-28,26,20,2012-01-17,55.5,20.00
9018,2009,5.752321,0.396722737,Capelin,20,217.5,209,-8.50,3,9245,1,2009-01-03,27,19,2009-01-22,54,19.00
3616,2013,5.695705,0.397807463,Redfish,24,152,183,31.00,4,11002,2,2013-01-10,26,NA,NA,NA,NA
2701,2009,5.447159,0.40049738,Redfish,23,200,200,0.00,2,9313,1,2009-01-07,21,NA,NA,NA,NA
4269,1999,5.248939,0.402037981,AtlanticCod,14,150,177,27.00,5,4511,1,1998-12-29,NA,NA,NA,NA,NA
5683,2001,5.338455,0.406273479,AtlanticCod,27,172.5,228,55.50,NA,NA,NA,NA,NA,NA,NA,NA,NA
9410,2010,5.892238,0.406304061,NorthernSandlance,25,194.5,189.5,-5.00,NA,9540,2,NA,NA,NA,2010-01-15,51,NA
2734,2010,5.978792,0.417031261,NorthernSandlance,25,167,171,4.00,3,9865,2,2010-01-08,21,17,2010-01-25,41.5,17.00
9020,2009,5.80106,0.421403905,Redfish,22,233,224.5,-8.50,3,9025,2,2008-12-25,NA,19,2009-01-13,48,19.00
45,2014,5.902081,0.426328248,Redfish,27,183.2,215,31.80,NA,11141,1,NA,NA,NA,2014-01-14,53,NA
6116,2002,5.726906,0.433872694,NorthernSandlance,31,178,190,12.00,4,6531,2,2002-01-07,19.5,16,2002-01-23,40,16.00
78,2011,5.696741,0.435317215,Redfish,26,140,157.5,17.50,3,10304,1,2011-01-14,21,NA,NA,NA,NA
69,2015,5.585802,0.436473622,Redfish,30,137.6,198.5,60.90,NA,12263,1,NA,NA,NA,2015-01-19,45.5,NA
9930,2011,5.754465,0.438598691,Redfish,24,154,169,15.00,NA,10174,2,NA,NA,NA,2011-01-11,44,NA
7384,2005,5.780942,0.440362116,NorthernSandlance,33,136,213,77.00,NA,No pup,NA,NA,NA,NA,NA,NA,NA
102,2013,5.662094,0.442752914,NorthernSandlance,27,168,177,9.00,3,11036,2,2013-01-18,19.5,NA,NA,NA,NA
3616,1998,5.563396,0.443327492,Redfish,9,116,148,32.00,NA,no pup,NA,NA,NA,NA,NA,NA,NA
109,2013,5.636425,0.444608819,Pollock,27,205,177,-28.00,NA,10899,2,NA,NA,NA,2013-01-15,38,NA
24,2001,5.533903,0.455667859,Pollock,28,194.5,197,2.50,3,5902,2,2001-01-13,25,15,2001-01-28,43,15.00
4266,2013,5.690635,0.476710751,NorthernSandlance,27,168,191.5,23.50,3,10961,1,2013-01-07,20.5,17,2013-01-24,40,17.00
9420,2010,5.879424,0.495723042,NorthernSandlance,23,227.5,224,-3.50,3,9704,1,2009-12-30,32.5,15,2010-01-14,61,15.00
19,1996,5.469724,0.49660454,NorthernSandlance,23,171,NA,NA,NA,2757,2,NA,NA,17,1996-01-25,46,NA
10688,2013,5.568381,0.500514174,Pollock,26,164,180.5,16.50,3,10964,2,2013-01-08,22,15,2013-01-23,42.5,15.00
9417,2010,5.722576,0.504085037,WhiteHake,23,205.5,192,-13.50,2,9775,1,2010-01-02,22.5,16,2010-01-18,40,16.00
6165,2010,5.766226,0.51447,Pollock,25,237,214,-23.00,NA,9784,0,NA,NA,NA,NA,NA,NA
10687,2013,5.554911,0.515682252,NorthernSandlance,26,154,201,47.00,3,10887,1,2013-01-01,NA,18,2013-01-19,50,18.00
5485,2014,6.517439,0.529013657,Capelin,14,149.5,137,-12.50,NA,11147,1,NA,NA,NA,2014-01-08,42.5,NA
7364,2005,5.594992,0.578185219,Redfish,19,132.5,207,74.50,NA,NA,NA,NA,NA,NA,NA,NA,NA
